Building,Room,Lat ,Lng,Noise,Crowd,Rating,Capacity,Comment,Time,Surveys
Gile,,43.704735,-72.291311,0,1,3,10,,234567890,1
Baker-Berry,1902 Room,43.705042,-72.289066,0,2,3,50,,49387587,2
Baker-Berry,East Asian Room,43.705451,-72.288495,0,1,3,15,,3781246,1
Baker-Berry,Lobby,43.705598,-72.288661,2,3,2,30,greenprint and scanners,54783921,3
Baker-Berry,2nd Floor,43.705513,-72.289042,1,1,3,30,,,
Baker-Berry,3rd Floor,43.705513,-72.289042,1,1,3,30,,,
Baker-Berry,1st Floor,43.705459,-72.28868,2,2,2,20,,,
Carpenter,,43.705598,-72.289315,1,1,3,25,,,
Collis,Commonground,43.702785,-72.290109,1,2,2,20,,,
Collis,212,43.702703,-72.28979,1,1,3,12,whiteboard,,
Collis,223,43.702944,-72.290176,1,1,3,4,whiteboard,,
Collis,Café,43.702655,-72.289954,3,3,1,15,,,
Dana Library,,43.70892,-72.286276,0,0,4,20,shiny,,
Dirt Cowboy,,43.702098,-72.289608,3,2,2,15,real people,,
Feldberg Library,,43.705152,-72.295114,0,0,4,30,,,
Foco,,43.703082,-72.290718,2,2,2,20,,,
Hitchcock basement,,43.704714,-72.29062,0,0,2,4,,,
Hop,piano room,43.701216,-72.287719,0,0,4,1,,,
Kemeny,study loung,43.706415,-72.288572,0,1,3,10,,,
Kemeny,6,43.706407,-72.288824,0,0,3,30,chalkboard,,
King Arthur Flour,,43.705337,-72.288565,3,3,2,15,,,
LSC,,43.709141,-72.284216,0,1,2,20,,,
McLane,,43.70553,-72.291997,0,0,3,4,,,
McLaughlin,,43.707182,-72.286059,0,0,3,4,,,
Mid-Mass,,43.703822,-72.290579,0,0,3,4,,,
Moore,,43.707266,-72.287819,0,0,3,4,,,
Baker-Berry,Mural Room,43.705244,-72.288411,0,1,3,30,,,
Sudikoff,Neukom,43.706766,-72.286781,0,0,3,5,,,
New Hamp common room,,43.702496,-72.286794,0,1,2,4,,,
Novack,,43.705812,-72.288696,2,3,1,30,,,
Paddock Library,,43.701666,-72.288033,0,1,2,10,music software,,
Rocky,Rainbow Room,43.705819,-72.290377,0,0,2,15,,,
Robinson Hall,,43.703144,-72.289997,1,2,2,10,,,
Sarner,,43.702868,-72.290935,1,1,1,10,rolly chairs,,
Silsby,,43.705608,-72.290039,0,0,2,10,,,
South Fay,,43.703413,-72.286386,0,0,2,4,,,
Sudikoff,1,43.706783,-72.287001,1,1,3,15,linux machines,,
Sudikoff,114,43.706808,-72.287132,0,0,3,6,white board,,
Sudikoff,115,43.706888,-72.286982,0,0,3,8,,,
Sudikoff,master lab,43.706888,-72.286982,1,2,3,8,,,
Sudikoff,2,43.7068,-72.286966,1,1,3,5,,,
Sudikoff,3,43.706737,-72.287164,1,1,3,20,"macs, photoshop",,
Sudikoff,4,43.706624,-72.287288,1,2,3,20,,,
Sudikoff,5,43.706583,-72.287349,1,2,3,20,,,
Sudikoff,6,43.706576,-72.287462,1,2,3,20,,,
TiltFactor,classroom,43.701255,-72.287081,0,0,3,8,whitboard walls,,
